Title,Price,Location,BuildArea,NoOfBedrooms,NoOfBathrooms
Lavinia Apartment @ Sungai Nibong,RM 760 000,Sungai Nibong,2200 sq.ft.,4 Bedrooms,3 Bathrooms
Vertu Ready to Move In,RM 638 000,Batu Kawan,1030 sq.ft.,3 Bedrooms,2 Bathrooms
"For Sale APARTMENT CENTRIO AVENUE, BUKIT GAMBIER, PENANG.",RM 350 000,Gelugor,680 sq.ft.,3 Bedrooms,2 Bathrooms
"Tropicana ready to move in unit, queen bay",RM 685 000,Bayan Lepas,800 sq.ft.,2 Bedrooms,2 Bathrooms
Starhill cheapeast large and good view unit,RM 878 000,Gelugor,1752 sq.ft.,4 Bedrooms,3 Bathrooms
Melati Apartment [950sf] 1 Carpark Low Dense Renovated Sungai Nibong,RM 380 000,Bayan Lepas,950 sq.ft.,3 Bedrooms,2 Bathrooms
Melati Apartment [950sf] 1 Carpark Extended Renovated Sungai Nibong,RM 360 000,Bayan Lepas,950 sq.ft.,3 Bedrooms,2 Bathrooms
Melati Apartment [950sf] 1 Carpark Renovated Low Dense Sungai Nibong,RM 380 000,Bayan Lepas,950 sq.ft.,3 Bedrooms,2 Bathrooms
Rumah Pangsapuri Cantik & Renovated di Permatang Pauh,RM 255 000,Pauh Jaya,743 sq.ft.,3 Bedrooms,2 Bathrooms
Symphony Park Corner Renovated jelutong,RM 428 000,Jelutong,750 sq.ft.,3 Bedrooms,2 Bathrooms
"For Sale Block MA, Apartment Delima Intan, Juru, Penang",RM 265 000,Juru,784 sq.ft.,3 Bedrooms,2 Bathrooms
Ria apartment bagan luar,RM 185 000,Butterworth,780 sq.ft.,3 Bedrooms,2 Bathrooms
One sky condo at bayan baru,RM 555 000,Bayan Lepas,1425 sq.ft.,3 Bedrooms,2 Bathrooms
D piazza condo at bayan baru 2 car park,RM 530 000,Bayan Baru,1100 sq.ft.,3 Bedrooms,2 Bathrooms
"10minit to Autocity : Apartment Delima Intan, Juru",RM 265 000,Juru,784 sq.ft.,3 Bedrooms,2 Bathrooms
Pine residence condo at Farlim Reno,RM 700 000,Paya Terubong,1642 sq.ft.,3 Bedrooms,2 Bathrooms
"Sale with Tenancy, 3 Bedroom Convert to 2 Bedroom, Investment",RM 249 000,Ayer Itam,675 sq.ft.,2 Bedrooms,2 Bathrooms
Setia Sky Ville 1036 Sf Original Cheapest Good Location Worth Buy,RM 750 000,Jelutong,1036 sq.ft.,3 Bedrooms,2 Bathrooms
Desa Green Apartment (jelutong),RM 290 000,Jelutong,700 sq.ft.,3 Bedrooms,2 Bathrooms
Mount Residence - Tanjung Tokong - Mount Erskine - High Floor,RM 800 000,Tanjong Tokong,1226 sq.ft.,3 Bedrooms,2 Bathrooms
"Walk-Up Flat Permata,Bandar Perda,BM.",RM 170 000,Bukit Mertajam,605 sq.ft.,3 Bedrooms,1 Bathroom
Penhill Perdana Condo Ayer Itam Freehold Furnished Renovated 2 CarPark,RM 575 000,Ayer Itam,1150 sq.ft.,3 Bedrooms,2 Bathrooms
SERUAN EMAS at JALAN FREE SCHOOL GEORGETOWN PENANG,RM 348 000,Greenlane,700 sq.ft.,3 Bedrooms,2 Bathrooms
WORTH BUY ! Kayangan Puri Mutiara KPM 900sf FULLY RENO Corner Unit,RM 320 000,Tanjong Tokong,900 sq.ft.,2 Bedrooms,2 Bathrooms
Menara Kuda Lari KITCHEN Renovated 850sqft Taman Lumba Kuda Ayer Itam,RM 370 000,Georgetown,850 sq.ft.,3 Bedrooms,2 Bathrooms
Taman Cemerlang Renoveted Kitchen Cabinet 700 Sf In Jelutong,RM 330 000,Jelutong,700 sq.ft.,3 Bedrooms,2 Bathrooms
Pangsapuri Seri Melur Apartment Bagan Jermal Freehold Butterworth,RM 360 000,Butterworth,1070 sq.ft.,3 Bedrooms,2 Bathrooms
"Tropicana 218, Sell with tenancy, High ROI",RM 1 250 000,Georgetown,977 sq.ft.,3 Bedrooms,2 Bathrooms
Relau 2 car park Condo Bayan Lepas,RM 366 000,Sungai Ara,800 sq.ft.,3 Bedrooms,2 Bathrooms
Tunas Residensi 826sqft Unfurnish Bayan Baru Sungai Ara CHEAPEST,RM 370 000,Relau,826 sq.ft.,3 Bedrooms,2 Bathrooms
Pine Residence Condo Renovated Ayer Itam 1500 Sqft 2 Car Park Freehold,RM 640 000,Paya Terubong,1500 sq.ft.,4 Bedrooms,2 Bathrooms
Zan Pavillon Near The Clovers Sungai Ara best deal,RM 600 000,Sungai Ara,1990 sq.ft.,4 Bedrooms,2 Bathrooms
Bayan Baru USM Penthouse Sungai Dua,RM 870 000,Gelugor,2200 sq.ft.,3 Bedrooms,4 Bathrooms
Tri Pinnacle Condo Tanjung Tokong 2 Car Park Freehold Furnished Reno,RM 473 000,Tanjong Tokong,800 sq.ft.,3 Bedrooms,2 Bathrooms
Sierra Residence Condo Sungai Ara Fully Furnished Renovated,RM 540 000,Sungai Ara,900 sq.ft.,3 Bedrooms,2 Bathrooms
Tg Tokong Apartment,RM 435 000,Tanjong Tokong,800 sq.ft.,3 Bedrooms,2 Bathrooms
NOVUS Sungai Nibong 2 CARPARK Brand New CHEAPER UNIT IN MARKET,RM 620 000,Bayan Lepas,1155 sq.ft.,3 Bedrooms,2 Bathrooms
[NICE RENO] Royale Infinity Simpang Ampat,RM 475 000,Simpang Ampat,1140 sq.ft.,3 Bedrooms,2 Bathrooms
[NICE RENO] Royale Infinity Simpang Ampat Facing Swimming Pool,RM 470 000,Simpang Ampat,1140 sq.ft.,3 Bedrooms,2 Bathrooms
Relau Vista High Floor Nice View Relau,RM 310 000,Relau,700 sq.ft.,3 Bedrooms,2 Bathrooms
Novus SUNGAI NIBONG 2 car park 1155sqft FULLY SEAVIEW,RM 680 000,Bayan Lepas,1155 sq.ft.,3 Bedrooms,2 Bathrooms
Gambier Heights Bukit Gambier Near USM Bukit Gambier,RM 350 000,Gelugor,850 sq.ft.,3 Bedrooms,2 Bathrooms
Desa Permata PEARL Block 9 700SF Partly Furnished Renovated Ayer Itam,RM 260 000,Ayer Itam,700 sq.ft.,3 Bedrooms,2 Bathrooms
Condominium Greenlane Park Greenlane,RM 425 000,Greenlane,860 sq.ft.,3 Bedrooms,2 Bathrooms
Shineville Condo near All Season Air Itam,RM 505 000,Ayer Itam,1650 sq.ft.,4 Bedrooms,2 Bathrooms
Raffel Tower RENOVATED Mid Floor 1600sf CALL NOW VALUE FOR MONEY,RM 1 270 000,Gelugor,1600 sq.ft.,4 Bedrooms,3 Bathrooms
Untuk Dijual Condo Villa Emas Bayan Lepas Penang,RM 500 000,Bayan Lepas,850 sq.ft.,3 Bedrooms,2 Bathrooms
"[100% Loan + Free Gifts] [Fully Reno] Apartment Prima View, Sg Nibong",RM 350 000,Sungai Nibong,818 sq.ft.,3 Bedrooms,2 Bathrooms
[100% Loan + Free Gifts] [Siap Reno] Kondo Mutiara Bandar Perda,RM 220 000,Bukit Mertajam,700 sq.ft.,3 Bedrooms,2 Bathrooms
Untuk Dijual Flat Pinang Emas Batu Feringgi Penang,RM 175 000,Batu Ferringhi,560 sq.ft.,3 Bedrooms,1 Bathroom
Untuk Dijual Flat Pinang Emas Batu Feringgi Pulau Pinang,RM 180 000,Batu Ferringhi,560 sq.ft.,3 Bedrooms,1 Bathroom
"Flat Taman Permata @ Bukit Mertajam, Penang for Sale",RM 100 000,Bukit Mertajam,613 sq.ft.,3 Bedrooms,2 Bathrooms
Good deal . TAMAN LONE PINE,RM 160 000,Paya Terubong,527 sq.ft.,2 Bedrooms,1 Bathroom
Condominium The Address Bukit Jambul For Sale/Utk DiJual,RM 110 000 000,Bukit Jambul,1431 sq.ft.,4 Bedrooms,3 Bathrooms
Middleton @ Minden Heights 1409SQFT Seaview N Poolview COMPLETED,RM 1 064 000,Gelugor,1409 sq.ft.,3 Bedrooms,3 Bathrooms
Arena Residence Bayan Baru 1450 sqft 3 CARPARKS Fully Furnished & reno,RM 780 000,Bayan Baru,1450 sq.ft.,4 Bedrooms,3 Bathrooms
ARENA RESIDENCE Bayan Baru 1450sqft 2 CARPARKS Renovated 3 CARPARK,RM 850 000,Bayan Baru,1450 sq.ft.,4 Bedrooms,3 Bathrooms
"Gold Coast, 1184sf, 1 car park, Renovated, Furnished",RM 550 000,Bayan Lepas,1184 sq.ft.,3 Bedrooms,2 Bathrooms
BMV 27% | Duplex Penthouse Penhill Perdana Condo Ayer Itam 4467sf,RM 1 363 000,Ayer Itam,4467 sq.ft.,5 Bedrooms,4 Bathrooms
Desa Permai Indah Apartment For Sale,RM 360 000,Sungai Dua,920 sq.ft.,3 Bedrooms,2 Bathrooms
Desa Singora [750sf] 1 Cp Renovated High Floor Low Dense Georgetown,RM 360 000,Georgetown,750 sq.ft.,3 Bedrooms,2 Bathrooms
High floor / Bare unit I-Santorini,RM 500 000,Tanjong Tokong,850 sq.ft.,3 Bedrooms,2 Bathrooms
BAYSWATER 1636sf FULL RENOVATED Well MAINTAINED LAST 3 UNIT AVAILABLE,RM 1 035 000,Gelugor,1636 sq.ft.,3 Bedrooms,3 Bathrooms
BAYSWATER 1636sf CHEAPEST IN MARKET CALL ME NOW Near E Gate Light 2CP,RM 1 000 000,Gelugor,1636 sq.ft.,3 Bedrooms,3 Bathrooms
Pearl Tower (Ria Apartment),RM 235 000,Butterworth,750 sq.ft.,3 Bedrooms,2 Bathrooms
"Setia Pinnacle, 1095sf, 1 car park, Renovated, City View & pool view",RM 600 000,Sungai Ara,1095 sq.ft.,3 Bedrooms,2 Bathrooms
Gurney Paragon East Tower Higher Floor 3cp 4.25mil GOOD DEAL,RM 4 250 000,Persiaran Gurney,4600 sq.ft.,4 Bedrooms,5 Bathrooms
Pinang Court 2 for sale,RM 300 000,Jelutong,650 sq.ft.,3 Bedrooms,1 Bathroom
Krystal Heights Greenlane - Fixed Car Park,RM 203 000,Jelutong,500 sq.ft.,2 Bedrooms,1 Bathroom
Condo Gembira Greenlane Gelugor 1200sf LOW DENSITY Renovate Furnish,RM 530 000,Gelugor,1200 sq.ft.,3 Bedrooms,2 Bathrooms
WORTHBUY Desa Putra 680Sf GOOD LOCATION Nr Bayan Lepas Queenbay,RM 250 000,Bayan Lepas,680 sq.ft.,3 Bedrooms,2 Bathrooms
The Light Collection 1,RM 1 250 000,Gelugor,1528 sq.ft.,3 Bedrooms,2 Bathrooms
1450sqft Fully Furnished & renovated 2 CARPARK Fiera Vista BAYAN LEPAS,RM 688 000,Bayan Lepas,1450 sq.ft.,3 Bedrooms,3 Bathrooms
Selling Cheap Imperial Grande for sale.Nice view,RM 520 000,Bayan Lepas,1000 sq.ft.,3 Bedrooms,2 Bathrooms
GL Garden [800sf] 1 Carpark Basic Renovated Air Itam Paya Terubong,RM 350 000,Paya Terubong,800 sq.ft.,3 Bedrooms,2 Bathrooms
"Cassia resort condo , raja uda , butterworth",RM 368 000,Butterworth,1030 sq.ft.,4 Bedrooms,2 Bathrooms
Rumah Untuk Dijual,RM 339 000,Relau,800 sq.ft.,3 Bedrooms,2 Bathrooms
[Seaview] QuayWest l 1470sqft l 4R2B l Private Lift l 2CP l Owner Sale,RM 1 250 000,Batu Uban,1470 sq.ft.,4 Bedrooms,2 Bathrooms
"Marina Bay sea view, high floor, near Gurney, Georgetow, Pulau Tikus.",RM 600 000,Tanjong Tokong,1100 sq.ft.,3 Bedrooms,2 Bathrooms
HALAMAN KRISTAL 700sf JELUTONG ORIGINAL 1CARPARK SUNGAI PINANG,RM 300 000,Jelutong,700 sq.ft.,3 Bedrooms,2 Bathrooms
"Sri York duplex , renovated 1510sf, 2 car park scotland georgetown",RM 815 000,Georgetown,1509 sq.ft.,3 Bedrooms,2 Bathrooms
TAMAN LIPSIN BLOCK 1 GELUGOR 700sf RENOVATED PEKAKA SUNGAI DUA 1CP,RM 350 000,Bayan Lepas,700 sq.ft.,3 Bedrooms,2 Bathrooms
Sinar Bukit Dumbar (BLOCK 98) Nr Tesco E-gate 3-Rooms Partly Furnished,RM 380 000,Jelutong,800 sq.ft.,3 Bedrooms,2 Bathrooms
[[Renovated]Butterworth Raja Uda Pangsapuri Seri Melur For Sale,RM 430 000,Butterworth,1060 sq.ft.,3 Bedrooms,2 Bathrooms
Pangsapuri Seri Melur Apartment Bagan Jermal Butterworth Freehold,RM 360 000,Butterworth,1070 sq.ft.,3 Bedrooms,2 Bathrooms
Royale Infinity 1140sqft 2 car parks Tambun near bloom Simpang Ampat,RM 365 000,Simpang Ampat,1140 sq.ft.,3 Bedrooms,2 Bathrooms
Tropicana Bay Residence 1020sf 3-bedrooms KEY WITH ME bayan lepas,RM 653 000,Bayan Lepas,1020 sq.ft.,3 Bedrooms,2 Bathrooms
Setia Triangle 1295sqft WORTH BUY LAST UNIT near tree sparina solaria,RM 525 000,Bayan Lepas,1300 sq.ft.,3 Bedrooms,2 Bathrooms
LEVEL 1 : Taman Kumbar permai,RM 369 000,Teluk Kumbar,1080 sq.ft.,3 Bedrooms,2 Bathrooms
Sri Saujana 680sqft Block C 5条路 Georgetown Geran OBtained 1 fix CP,RM 265 000,Georgetown,650 sq.ft.,3 Bedrooms,2 Bathrooms
butterworth telok air tawar quayside condo for sales 1328sqft,RM 430 000,Butterworth,1328 sq.ft.,3 Bedrooms,2 Bathrooms
Seaview Condo opposite Starbucks Batu Ferringhi,RM 365 000,Batu Ferringhi,883 sq.ft.,3 Bedrooms,2 Bathrooms
4 Car Park Orchard Ville 1244sf Corner Seaview,RM 630 000,Bayan Lepas,1244 sq.ft.,3 Bedrooms,2 Bathrooms
Taman Evergreen 750sqft Mid Floor Reno 1 Carpark at Tanjung Tokong,RM 390 000,Tanjong Tokong,750 sq.ft.,3 Bedrooms,2 Bathrooms
"Farlim Sri Ivory Apartment, Middle Floor, Newly Reno(Direct Owner)",RM 250 000,Ayer Itam,700 sq.ft.,3 Bedrooms,2 Bathrooms
Mutiara Place Puncak Mutiara Greenlane,RM 580 000,Gelugor,1050 sq.ft.,3 Bedrooms,2 Bathrooms
28 Logan Georgetown Low density Logan Road,RM 1 000 000,Georgetown,1600 sq.ft.,3 Bedrooms,3 Bathrooms
The Tamarind Condominium Tanjong Tokong 1372sf Original Unit,RM 1 020 000,Tanjong Tokong,1372 sq.ft.,3 Bedrooms,2 Bathrooms
Marinox Sky Villas Condominium Tanjong Tokong 1450sf 4 bedroom,RM 950 005,Tanjong Tokong,1450 sq.ft.,4 Bedrooms,3 Bathrooms
The Waterfront Condominium Tanjung Bungah 1475sf 4 Bedroom 2 Car Park,RM 888 000,Tanjung Bungah,1475 sq.ft.,4 Bedrooms,3 Bathrooms
Meritus Residensi with Furnished @ Perai for Sale,RM 530 000,Prai,1023 sq.ft.,3 Bedrooms,2 Bathrooms
The Latitude Condominium Tanjong Tokong Move In Condition High Floor,RM 850 000,Tanjong Tokong,1500 sq.ft.,3 Bedrooms,3 Bathrooms
The Light Collection 1 Condominium Gelugor 1528sf,RM 1 250 000,Gelugor,1528 sq.ft.,3 Bedrooms,3 Bathrooms
Orchard ville for sales fully reno and furnish,RM 570 000,Bayan Lepas,1116 sq.ft.,3 Bedrooms,2 Bathrooms
RARE IN MARKET- Tropicana Bay Residence NB Queensbay/FTZ/Penang Bridge,RM 500 000,Bayan Lepas,615 sq.ft.,2 Bedrooms,1 Bathroom
Summer Place [ CHEAPEST ] Furnish n Renovated SEA VIEW Karpal Singh,RM 600 000,Georgetown,1012 sq.ft.,3 Bedrooms,2 Bathrooms
The Address Sea & Town View 1431sf Bukit Jambul High Floor,RM 835 000,Bukit Jambul,1431 sq.ft.,4 Bedrooms,3 Bathrooms
Gurney Drive Setia V Residence 4118sf With Private Life Low Density,RM 4 200 000,Georgetown,4118 sq.ft.,5 Bedrooms,6 Bathrooms
DAHLIA PARK CONDO Butterworth For SALE,RM 399 000,Butterworth,1395 sq.ft.,4 Bedrooms,2 Bathrooms
"Fully Renovated Platino Condominium At Jelutong, Penang For Sale",RM 1 600 000,Gelugor,2400 sq.ft.,4 Bedrooms,5 Bathrooms
Marinox Sky Villas Condominium Penang For Sale,RM 1 400 000,Tanjong Tokong,1680 sq.ft.,4 Bedrooms,4 Bathrooms
High Floor Tri Pinnacle CORNER Exclusive Deal Partial Renovated,RM 485 000,Tanjong Tokong,850 sq.ft.,3 Bedrooms,2 Bathrooms
Worth Buy unit Apartment near Raja Uda,RM 295 000,Butterworth,820 sq.ft.,3 Bedrooms,2 Bathrooms
Pangsapuri Tanjung Tokong ( High Demand ),RM 215 000,Tanjong Tokong,650 sq.ft.,3 Bedrooms,2 Bathrooms
[NICE UNIT] Tropicana Bay Residence NB Queensbay/Penang Bridge/FTZ,RM 590 000,Bayan Lepas,872 sq.ft.,3 Bedrooms,2 Bathrooms
[VALUE BUY] Tropicana Bay Residence Penang Bridge View NB Queensbay,RM 650 000,Bayan Lepas,1020 sq.ft.,3 Bedrooms,2 Bathrooms
[Open Studio] Tropicana Bay Residence NB Queensbay/Penang Bridge/FTZ,RM 410 000,Bayan Lepas,455 sq.ft.,1 Bedroom,1 Bathroom
BEST DEAL Fiera Vista FULL RENO & Furnished in Sungai Ara Bayan Lepas,RM 720 000,Bayan Lepas,1400 sq.ft.,4 Bedrooms,3 Bathrooms
"[624sft, 3bedrooms] Lrg Impian Murni 6, Tmn Impian Murni, Alma, BM",RM 75 000,Alma,624 sq.ft.,3 Bedrooms,2 Bathrooms
The light collection 2 studio 2 car park,RM 690 000,Gelugor,517 sq.ft.,1 Bedroom,1 Bathroom
Nice View Tri Pinnacle 3 Car Parks Full Reno&Furnished Tanjung Tokong,RM 540 000,Tanjong Tokong,800 sq.ft.,3 Bedrooms,2 Bathrooms
Best Unit Deal Leader Garden 1200sqft Full Furnished Tanjung Bungah,RM 500 000,Tanjung Bungah,1200 sq.ft.,4 Bedrooms,3 Bathrooms
Tmn Seri Setia Flat near TARU / Tenby international School,RM 238 000,Tanjung Bungah,678 sq.ft.,3 Bedrooms,2 Bathrooms
Taman lip sin at lip sin sungai duo,RM 345 000,Bayan Lepas,700 sq.ft.,3 Bedrooms,2 Bathrooms
TAMAN SERI DAMAI 800sf Fully Furnished BATU LANCHANG Near Jelutong,RM 350 000,Jelutong,800 sq.ft.,3 Bedrooms,2 Bathrooms
Majestic Heights(Paya Terubong),RM 88 200,Ayer Itam,700 sq.ft.,3 Bedrooms,2 Bathrooms
Marina Tower (Ratu Mutiara Condo) 1300sq ft FULLY RENOVATED SEAVIEW,RM 728 000,Tanjung Bungah,1300 sq.ft.,3 Bedrooms,2 Bathrooms
Reflections Condominium Unfurnished At Bayan Lepas For SALE,RM 540 000,Bayan Lepas,1260 sq.ft.,3 Bedrooms,2 Bathrooms
"[603sft, 3bedrooms] Lrg Bakap Indah 8, Taman Bakap Indah, Sungai Jawi",RM 52 000,Sungai Jawi,603 sq.ft.,3 Bedrooms,2 Bathrooms
"NO AGENT FEE! Lucerne Residence, 3 Room, 2 Parking, Tip Top Facilities",RM 663 000,Bayan Lepas,1100 sq.ft.,3 Bedrooms,2 Bathrooms
Your Dream Home ,RM 335 000,Jelutong,800 sq.ft.,3 Bedrooms,2 Bathrooms
Artis 3 Worthbuy 1175sqft 2 Car Park High Floor Reno,RM 780 000,Jelutong,1175 sq.ft.,3 Bedrooms,2 Bathrooms
"Mutiara Idaman 2,Jelutong,Penang.",RM 295 000,Jelutong,680 sq.ft.,3 Bedrooms,1 Bathroom
"Garden's Ville - Garden unit- Sungai Ara, Relau",RM 660 000,Sungai Ara,1286 sq.ft.,3 Bedrooms,2 Bathrooms
SKYCUBE RESIDENCE [1970sf GARDEN UNIT] Unfurnished Condition 2Cpark,RM 750 000,Sungai Ara,1970 sq.ft.,3 Bedrooms,2 Bathrooms
The Light Collection 1 1582sf 3Carpark Fully Furnish & Reno at Gelugor,RM 1 250 000,Gelugor,1582 sq.ft.,3 Bedrooms,2 Bathrooms
Halaman kenanga at sungai duo good deal few unit,RM 268 000,Gelugor,700 sq.ft.,3 Bedrooms,2 Bathrooms
Imperial Residence 1200sft Renovated Furnish Cheapest In Market Sg Ara,RM 600 000,Sungai Ara,1200 sq.ft.,3 Bedrooms,2 Bathrooms
Best​ Worth buy FREEHOLD Taman Padang tembak 700sf 3bedroom Ayer Itam,RM 277 000,Ayer Itam,700 sq.ft.,3 Bedrooms,1 Bathroom
Maritime Duplex Suite (worthbuy) 1200sqft Renovated Furnish Corner,RM 950 000,Georgetown,1200 sq.ft.,3 Bedrooms,2 Bathrooms
Sinar Bukit Dumbar - 700sf - Furnished & Renovated - Freehold Jelutong,RM 330 000,Jelutong,700 sq.ft.,3 Bedrooms,2 Bathrooms
One Imperial Renovated 2 Car Park Well Maintain,RM 545 000,Sungai Ara,1050 sq.ft.,3 Bedrooms,2 Bathrooms
Skyview Residence Worthbuy 2 Car Park High Floor,RM 750 000,Jelutong,1250 sq.ft.,3 Bedrooms,2 Bathrooms
The Latitude Condo Worthbuy Seaview Cheapest In Market,RM 700 000,Tanjong Tokong,1500 sq.ft.,3 Bedrooms,2 Bathrooms
Tree Sparina 2 Car Park Reno Furnish 1130Sqft Well Maintain,RM 630 000,Bayan Lepas,1130 sq.ft.,3 Bedrooms,2 Bathrooms
BEST BUY!! The Brezza Tg Tokong Nr Straits Quay Renovated & Furnished,RM 618 000,Tanjong Tokong,1250 sq.ft.,3 Bedrooms,2 Bathrooms
Summerskye Residence High Floor Pool View Cheapest In Market,RM 630 000,Bayan Lepas,1100 sq.ft.,3 Bedrooms,2 Bathrooms
SENZVILLE RESIDENCE [1080sf] Original Condition 2Cpark [CHEAPEST],RM 540 000,Sungai Ara,1080 sq.ft.,3 Bedrooms,2 Bathrooms
Moulmein rise pulau tikus city seaview 2 carpark well renovated,RM 2 450 000,Pulau Tikus,1851 sq.ft.,3 Bedrooms,4 Bathrooms
SENZVILLE RESIDENCE [1080sf] Original Condition Low Floor [3 CARPARK],RM 570 000,Sungai Ara,1080 sq.ft.,3 Bedrooms,2 Bathrooms
SENZVILLE RESIDENCE [1180sf] Brand New Condition 3Cpark [MID FLOOR],RM 598 000,Sungai Ara,1180 sq.ft.,3 Bedrooms,2 Bathrooms
Mira Residence 2CP! BEAUTIFULLY RENO & FURNISHED 1352sf Tanjung Bungah,RM 1 000 000,Tanjung Bungah,1300 sq.ft.,3 Bedrooms,2 Bathrooms
Central Park Condo I Unit 1 I Renovated I Jelutong,RM 1 450 000,Greenlane,2600 sq.ft.,4 Bedrooms,5 Bathrooms
[Hot Cake] Sandiland Sandilands 1338sf Key On Hand Georgetown Call Me,RM 735 000,Jelutong,1338 sq.ft.,3 Bedrooms,3 Bathrooms
Imperial Grande Cheapest In Market 2 Car Park High Floor,RM 500 000,Bayan Lepas,1000 sq.ft.,3 Bedrooms,2 Bathrooms
Skycube Residence With Balcony Renovated Pool View Well Maintain,RM 628 000,Sungai Ara,1200 sq.ft.,3 Bedrooms,2 Bathrooms
Untuk Dijual Apartment Halaman Damai Jelutong Penang,RM 250 000,Jelutong,501 sq.ft.,2 Bedrooms,1 Bathroom
"[TIP TOP] The Oasis, 3 Room, Fully renovated, Perfect City View, BEST",RM 520 000,Gelugor,1112 sq.ft.,3 Bedrooms,2 Bathrooms
"[CHEAPEST] Permai Jaya (H Block), 3 Room, Well Maintain, near Tarc",RM 288 000,Tanjung Bungah,685 sq.ft.,3 Bedrooms,2 Bathrooms
"FANSTASTIC! Eco Bloom, 3 Room, Tastefully Design, 2 Parking, City View",RM 550 000,Simpang Ampat,900 sq.ft.,3 Bedrooms,2 Bathrooms
Sri Aman Renovated with Fix Cover Carpark ,RM 310 000,Relau,700 sq.ft.,3 Bedrooms,1 Bathroom
For sell duplex unit full renovation woodsbury suite,RM 550 000,Butterworth,850 sq.ft.,1 Bedroom,1 Bathroom
THE PROMENADE | 847 Sft | BELOW MARKET PRICE | 1 CP |100% FULL LOAN,RM 430 000,Bayan Baru,847 sq.ft.,2 Bedrooms,2 Bathrooms
Birch Regency Times Square Georgetown 3-Rooms F/Renovated F/Furnished,RM 590 000,Georgetown,1050 sq.ft.,3 Bedrooms,2 Bathrooms
Vertu Resort Condominum 1030sf 2cp Cheapest in Ikea Batu Kawan,RM 530 000,Batu Kawan,1030 sq.ft.,3 Bedrooms,2 Bathrooms
[ BEST BUY ] Taman Terubong Jaya | WORTH | Block 11A | Paya Terubong,RM 250 000,Paya Terubong,850 sq.ft.,3 Bedrooms,2 Bathrooms
Untuk DIjual Apartment Desa Indah Blok 33,RM 230 000,Bukit Jambul,650 sq.ft.,3 Bedrooms,1 Bathroom
[ WORTH ] Gold Coast Resort | Low Floor | 1184 sqft | Near Queensbay,RM 560 000,Bayan Lepas,1184 sq.ft.,3 Bedrooms,2 Bathrooms
[ BEST BUY ] Gold Coast Resort | RENO | near Queensbay Bayan Lepas,RM 570 000,Bayan Lepas,1050 sq.ft.,3 Bedrooms,2 Bathrooms
The Amarene Unfurnished Middle Floor At Bayan Lepas For SALE,RM 660 000,Bayan Lepas,1200 sq.ft.,2 Bedrooms,3 Bathrooms
"Valuable Unit for sale @ Apartment Desa Sri Jaya , Seberang Jaya",RM 295 000,Perai,936 sq.ft.,3 Bedrooms,2 Bathrooms
Imperial Grande | Low Floor | Partial Reno | Bungalow Unit Corner |2Cp,RM 580 000,Bayan Lepas,1000 sq.ft.,3 Bedrooms,2 Bathrooms
Imperial Grande | Corner | Facing Hill View | 2 Cp,RM 520 000,Bayan Lepas,1000 sq.ft.,3 Bedrooms,2 Bathrooms
Untuk Dijual Prominence Condo Bukit Mertajam Penang,RM 495 000,Bukit Mertajam,1508 sq.ft.,3 Bedrooms,2 Bathrooms
Untuk Dijual Apartment Kumbar Perasi teluk Kumbar Pulau Pinang,RM 375 000,Teluk Kumbar,1080 sq.ft.,3 Bedrooms,2 Bathrooms
NPARK CONDO Seaview,RM 308 000,Gelugor,750 sq.ft.,3 Bedrooms,2 Bathrooms
Q2 | Queens Residences |1000 sft | Direct Seaview | Corner | 2 Cp,RM 1 120 000,Bayan Lepas,1000 sq.ft.,2 Bedrooms,2 Bathrooms
Tanjung Permai De Centro | 1375 Sf | Full Reno & Furnished | 2 CP,RM 495 000,Butterworth,1375 sq.ft.,4 Bedrooms,2 Bathrooms
Desa Bayan Apartment 18th Floor For Sale,RM 270 000,Sungai Ara,710 sq.ft.,3 Bedrooms,2 Bathrooms
THE UBAN RESIDENCE_RENOVATED & FURNISHED_MOVE IN CONDITION_2000 Sf,RM 1 120 000,Batu Uban,2000 sq.ft.,4 Bedrooms,3 Bathrooms
Grace Residence 1646sf Town View Original Unit At Jelutong 2CP 3+1Room,RM 830 000,Jelutong,1646 sq.ft.,4 Bedrooms,3 Bathrooms
Halaman Kristal 700 sf Extened Master room Jalan free School,RM 299 990,Jelutong,700 sq.ft.,3 Bedrooms,2 Bathrooms
"Seunit Flat Low Cost di Halaman Kristal, George Town, Pulau Pinang",RM 235 000,Jelutong,700 sq.ft.,3 Bedrooms,1 Bathroom
Fully reno | Taman Pekaka | Block 33,RM 350 000,Gelugor,700 sq.ft.,3 Bedrooms,2 Bathrooms
[CHEAPEST IN MARKET ] Taman Pelangi Indah Original MUST VIEW,RM 330 000,Jelutong,700 sq.ft.,3 Bedrooms,2 Bathrooms
Indah Kota Apartment Air Itam Fully Renovated Furnished 2 Car Parks,RM 535 000,Ayer Itam,1000 sq.ft.,3 Bedrooms,2 Bathrooms
Skycube Residence Indoor Garden 3CP Renovated Sungai Ara,RM 800 000,Sungai Ara,1900 sq.ft.,3 Bedrooms,2 Bathrooms
BAY RESIDENCE_GARDEN UNIT_FULLY RENOVATED_1750 Sf _ 2 CAR PARK,RM 1 350 000,Bayan Lepas,1750 sq.ft.,3 Bedrooms,2 Bathrooms
Desa Bistari apartment condo Reno full loan at pantai jerjak,RM 295 000,Gelugor,750 sq.ft.,3 Bedrooms,2 Bathrooms
