,Title,Price,Location,BuildArea,NoOfBedrooms,NoOfBathrooms
4055,Alila horizon tanjung bungah renovated for sale,790000.0,47.0,1356.0,2.0,1.0
4056,Sensasi Utropolis Batu Kawan 500sf Furnished,328000.0,7.0,500.0,0.0,0.0
4057,Regency Heights Condo 2 Car Park 1258sqft Fully Renovated Sungai Ara,568000.0,40.0,1258.0,2.0,1.0
4058,[Worth Deal] Vistaria Condo Sungai Ara Renovated Tip Top Condition !,440000.0,40.0,1050.0,2.0,1.0
4059,2 Carparks Asia Heights Corner Farlim,370000.0,2.0,838.0,2.0,1.0
4060, D'piazza Condominium 2 Carparks,590000.0,10.0,1300.0,4.0,2.0
4061,The Uban Residence 2101sqft 2 Car Park Fully Furnished Renovated,958000.0,9.0,2101.0,2.0,2.0
4062,THE BREZZA CONDO 1250sf RENOVATED High Floor SEAVIEW !! Seri Tanjung,650000.0,46.0,1250.0,2.0,2.0
4063,"Block MA, Apartment Delima Intan, Juru, Penang",265000.0,23.0,784.0,2.0,1.0
4064,Scott Residence Macalister Road 850sqft Low Dense LAST Unit in Market,700000.0,20.0,850.0,1.0,0.0
4065,I am SPECIALIST Time Square Birch Plaza Regency CITY and POOL View,580000.0,20.0,1050.0,1.0,1.0
4066,DUAL KEY ! Amarene CITY VIEW 2CP 1200sf Solaria Sparina Bayan Lepas,690000.0,11.0,1200.0,2.0,2.0
4067,WORTH ! Sierra East Condo Partly Reno 1280sf Sungai Ara Bayan Lepas,510000.0,14.0,1280.0,3.0,2.0
4068,Sierra East Condo Bukit Jambul 1180sqft,510000.0,14.0,1180.0,3.0,2.0
4069,Taman Kumbar Permai Full Reno 100% Loan,369000.0,50.0,1080.0,2.0,1.0
4070,"Taman Desa Relau 2 , Bayan Lepas for sale",280000.0,36.0,750.0,2.0,1.0
4071,"Mayfair Luxury Super Condo Seaview Renovated 5000 sq ft, Georgetown",3000000.0,20.0,5000.0,6.0,6.0
4072,Havana Beach Residences|New Affordable Condo 900 Sqft Near Airport,418000.0,11.0,900.0,2.0,1.0
4073,Gambier Heights Low Price,380000.0,19.0,900.0,2.0,1.0
4074,Dont Missed This Hot Cake! The Oasis Basic Unit Nice View Gelugor,499000.0,19.0,1113.0,2.0,1.0
4075,Excellent Bukit Saujana condo 800sf Bukit awana Paya Terubong,198000.0,2.0,800.0,2.0,1.0
4076,Taman Kumbar Permai Apartment 1080sf Full Loan,375000.0,50.0,1080.0,2.0,1.0
4077,Tasteful Reno!! Seaview!! The Oasis Fully Renovated with 2CP Gelugor,600000.0,19.0,1111.0,2.0,1.0
4078,[GRAB NOW] All Season Park Ayer Itam Farlim 1222sf MUST VIEW Call Me,610000.0,2.0,1222.0,3.0,2.0
4079,Quaywest Residence Seaview Low Price,850000.0,9.0,1220.0,2.0,1.0
4080,[LAST CALL] 2 SBS Car Park All Season Place Reno Ayer Itam Farlim !,515000.0,2.0,856.0,2.0,1.0
4081,[CHEAPEST] Solaria Residence Bayan Lepas 1115sf ORI UNIT MUST VIEW !,570000.0,11.0,1115.0,2.0,1.0
4082,Cheapest Unit! Fully Sea View! The Oasis Full Furnish Reno Gelugor Bes,520000.0,19.0,1113.0,2.0,1.0
4083,"Pangsapuri Pesona, Taman Pauh Jaya",255000.0,27.0,743.0,2.0,1.0
4084,Good Buy Bukit Saujana 800sf Bukit awana Paya Terubong,195000.0,2.0,800.0,2.0,1.0
4085,Pangsapuri Seri Melur 1070sf Reno Butterwoth,360000.0,18.0,1070.0,2.0,1.0
4086,SuperWorth RARE Putra place duplex 1800sf 6 bedroom Cp2 gold Coast,900000.0,11.0,1800.0,5.0,3.0
4087,Pangsapuri Seri Melur Fully Reno Raja Uda,430000.0,18.0,1070.0,2.0,1.0
4088,"Pangsapuri Pesona,Taman Pauh Jaya, Penang",255000.0,27.0,743.0,2.0,1.0
4089,Forest Ville Condo 1050sqft Corner Lot 2carpark High Floor Bayan Lepas,499000.0,11.0,1050.0,2.0,1.0
4090,Kondominium Mutiara Perda Bukit Mertajam,230000.0,15.0,700.0,2.0,1.0
4091,Quay West Residence at bayan indah,981000.0,36.0,1246.0,2.0,1.0
4092,Siera East Condo Bukit Jambul,530000.0,14.0,13000.0,2.0,1.0
4093,Arena Residence 1250sqft 2 Car Park Corner Fully Furnished Bayan Baru,630000.0,10.0,1250.0,3.0,1.0
4094,Desa Permata block 17 at paya Terubong few unit,280000.0,2.0,700.0,2.0,1.0
4095,Tropicana Bay @ Bayan Lepas near Queensbay Mall,760000.0,11.0,1020.0,2.0,1.0
4096,Lavinia Apartment @ Sungai Nibong,760000.0,44.0,2200.0,3.0,2.0
4097,Vertu Ready to Move In,638000.0,7.0,1030.0,2.0,1.0
4098,"For Sale APARTMENT CENTRIO AVENUE, BUKIT GAMBIER, PENANG.",350000.0,19.0,680.0,2.0,1.0
4099,"Tropicana ready to move in unit, queen bay",685000.0,11.0,800.0,1.0,1.0
4100,Starhill cheapeast large and good view unit,878000.0,19.0,1752.0,3.0,2.0
4101,Melati Apartment [950sf] 1 Carpark Low Dense Renovated Sungai Nibong,380000.0,11.0,950.0,2.0,1.0
4102,Melati Apartment [950sf] 1 Carpark Extended Renovated Sungai Nibong,360000.0,11.0,950.0,2.0,1.0
4103,Melati Apartment [950sf] 1 Carpark Renovated Low Dense Sungai Nibong,380000.0,11.0,950.0,2.0,1.0
4104,Rumah Pangsapuri Cantik & Renovated di Permatang Pauh,255000.0,27.0,743.0,2.0,1.0
4105,Symphony Park Corner Renovated jelutong,428000.0,22.0,750.0,2.0,1.0
4106,"For Sale Block MA, Apartment Delima Intan, Juru, Penang",265000.0,23.0,784.0,2.0,1.0
4107,Ria apartment bagan luar,185000.0,18.0,780.0,2.0,1.0
4108,One sky condo at bayan baru,555000.0,11.0,1425.0,2.0,1.0
4109,D piazza condo at bayan baru 2 car park,530000.0,10.0,1100.0,2.0,1.0
4110,"10minit to Autocity : Apartment Delima Intan, Juru",265000.0,23.0,784.0,2.0,1.0
4111,Pine residence condo at Farlim Reno,700000.0,28.0,1642.0,2.0,1.0
4112,"Sale with Tenancy, 3 Bedroom Convert to 2 Bedroom, Investment",249000.0,2.0,675.0,1.0,1.0
4113,Setia Sky Ville 1036 Sf Original Cheapest Good Location Worth Buy,750000.0,22.0,1036.0,2.0,1.0
4114,Desa Green Apartment (jelutong),290000.0,22.0,700.0,2.0,1.0
4115,Mount Residence - Tanjung Tokong - Mount Erskine - High Floor,800000.0,46.0,1226.0,2.0,1.0
4116,"Walk-Up Flat Permata,Bandar Perda,BM.",170000.0,15.0,605.0,2.0,0.0
4117,Penhill Perdana Condo Ayer Itam Freehold Furnished Renovated 2 CarPark,575000.0,2.0,1150.0,2.0,1.0
4118,SERUAN EMAS at JALAN FREE SCHOOL GEORGETOWN PENANG,348000.0,21.0,700.0,2.0,1.0
4119,WORTH BUY ! Kayangan Puri Mutiara KPM 900sf FULLY RENO Corner Unit,320000.0,46.0,900.0,1.0,1.0
4120,Menara Kuda Lari KITCHEN Renovated 850sqft Taman Lumba Kuda Ayer Itam,370000.0,20.0,850.0,2.0,1.0
4121,Taman Cemerlang Renoveted Kitchen Cabinet 700 Sf In Jelutong,330000.0,22.0,700.0,2.0,1.0
4122,Pangsapuri Seri Melur Apartment Bagan Jermal Freehold Butterworth,360000.0,18.0,1070.0,2.0,1.0
4123,"Tropicana 218, Sell with tenancy, High ROI",1250000.0,20.0,977.0,2.0,1.0
4124,Relau 2 car park Condo Bayan Lepas,366000.0,40.0,800.0,2.0,1.0
4125,Tunas Residensi 826sqft Unfurnish Bayan Baru Sungai Ara CHEAPEST,370000.0,36.0,826.0,2.0,1.0
4126,Pine Residence Condo Renovated Ayer Itam 1500 Sqft 2 Car Park Freehold,640000.0,28.0,1500.0,3.0,1.0
4127,Zan Pavillon Near The Clovers Sungai Ara best deal,600000.0,40.0,1990.0,3.0,1.0
4128,Bayan Baru USM Penthouse Sungai Dua,870000.0,19.0,2200.0,2.0,3.0
4129,Tri Pinnacle Condo Tanjung Tokong 2 Car Park Freehold Furnished Reno,473000.0,46.0,800.0,2.0,1.0
4130,Sierra Residence Condo Sungai Ara Fully Furnished Renovated,540000.0,40.0,900.0,2.0,1.0
4131,Tg Tokong Apartment,435000.0,46.0,800.0,2.0,1.0
4132,NOVUS Sungai Nibong 2 CARPARK Brand New CHEAPER UNIT IN MARKET,620000.0,11.0,1155.0,2.0,1.0
4133,[NICE RENO] Royale Infinity Simpang Ampat,475000.0,39.0,1140.0,2.0,1.0
4134,[NICE RENO] Royale Infinity Simpang Ampat Facing Swimming Pool,470000.0,39.0,1140.0,2.0,1.0
4135,Relau Vista High Floor Nice View Relau,310000.0,36.0,700.0,2.0,1.0
4136,Novus SUNGAI NIBONG 2 car park 1155sqft FULLY SEAVIEW,680000.0,11.0,1155.0,2.0,1.0
4137,Gambier Heights Bukit Gambier Near USM Bukit Gambier,350000.0,19.0,850.0,2.0,1.0
4138,Desa Permata PEARL Block 9 700SF Partly Furnished Renovated Ayer Itam,260000.0,2.0,700.0,2.0,1.0
4139,Condominium Greenlane Park Greenlane,425000.0,21.0,860.0,2.0,1.0
4140,Shineville Condo near All Season Air Itam,505000.0,2.0,1650.0,3.0,1.0
4141,Raffel Tower RENOVATED Mid Floor 1600sf CALL NOW VALUE FOR MONEY,1270000.0,19.0,1600.0,3.0,2.0
4142,Untuk Dijual Condo Villa Emas Bayan Lepas Penang,500000.0,11.0,850.0,2.0,1.0
4143,"[100% Loan + Free Gifts] [Fully Reno] Apartment Prima View, Sg Nibong",350000.0,44.0,818.0,2.0,1.0
4144,[100% Loan + Free Gifts] [Siap Reno] Kondo Mutiara Bandar Perda,220000.0,15.0,700.0,2.0,1.0
4145,Untuk Dijual Flat Pinang Emas Batu Feringgi Penang,175000.0,6.0,560.0,2.0,0.0
4146,Untuk Dijual Flat Pinang Emas Batu Feringgi Pulau Pinang,180000.0,6.0,560.0,2.0,0.0
4147,"Flat Taman Permata @ Bukit Mertajam, Penang for Sale",100000.0,15.0,613.0,2.0,1.0
4148,Good deal . TAMAN LONE PINE,160000.0,28.0,527.0,1.0,0.0
4149,Condominium The Address Bukit Jambul For Sale/Utk DiJual,110000000.0,14.0,1431.0,3.0,2.0
4150,Middleton @ Minden Heights 1409SQFT Seaview N Poolview COMPLETED,1064000.0,19.0,1409.0,2.0,2.0
4151,Arena Residence Bayan Baru 1450 sqft 3 CARPARKS Fully Furnished & reno,780000.0,10.0,1450.0,3.0,2.0
4152,ARENA RESIDENCE Bayan Baru 1450sqft 2 CARPARKS Renovated 3 CARPARK,850000.0,10.0,1450.0,3.0,2.0
4153,"Gold Coast, 1184sf, 1 car park, Renovated, Furnished",550000.0,11.0,1184.0,2.0,1.0
4154,BMV 27% | Duplex Penthouse Penhill Perdana Condo Ayer Itam 4467sf,1363000.0,2.0,4467.0,4.0,3.0
4155,Desa Permai Indah Apartment For Sale,360000.0,42.0,920.0,2.0,1.0
4156,Desa Singora [750sf] 1 Cp Renovated High Floor Low Dense Georgetown,360000.0,20.0,750.0,2.0,1.0
4157,High floor / Bare unit I-Santorini,500000.0,46.0,850.0,2.0,1.0
4158,BAYSWATER 1636sf FULL RENOVATED Well MAINTAINED LAST 3 UNIT AVAILABLE,1035000.0,19.0,1636.0,2.0,2.0
4159,BAYSWATER 1636sf CHEAPEST IN MARKET CALL ME NOW Near E Gate Light 2CP,1000000.0,19.0,1636.0,2.0,2.0
4160,Pearl Tower (Ria Apartment),235000.0,18.0,750.0,2.0,1.0
4161,"Setia Pinnacle, 1095sf, 1 car park, Renovated, City View & pool view",600000.0,40.0,1095.0,2.0,1.0
4162,Gurney Paragon East Tower Higher Floor 3cp 4.25mil GOOD DEAL,4250000.0,32.0,4600.0,3.0,4.0
4163,Pinang Court 2 for sale,300000.0,22.0,650.0,2.0,0.0
4164,Krystal Heights Greenlane - Fixed Car Park,203000.0,22.0,500.0,1.0,0.0
4165,Condo Gembira Greenlane Gelugor 1200sf LOW DENSITY Renovate Furnish,530000.0,19.0,1200.0,2.0,1.0
4166,WORTHBUY Desa Putra 680Sf GOOD LOCATION Nr Bayan Lepas Queenbay,250000.0,11.0,680.0,2.0,1.0
4167,The Light Collection 1,1250000.0,19.0,1528.0,2.0,1.0
4168,1450sqft Fully Furnished & renovated 2 CARPARK Fiera Vista BAYAN LEPAS,688000.0,11.0,1450.0,2.0,2.0
4169,Selling Cheap Imperial Grande for sale.Nice view,520000.0,11.0,1000.0,2.0,1.0
4170,GL Garden [800sf] 1 Carpark Basic Renovated Air Itam Paya Terubong,350000.0,28.0,800.0,2.0,1.0
4171,"Cassia resort condo , raja uda , butterworth",368000.0,18.0,1030.0,3.0,1.0
4172,Rumah Untuk Dijual,339000.0,36.0,800.0,2.0,1.0
4173,[Seaview] QuayWest l 1470sqft l 4R2B l Private Lift l 2CP l Owner Sale,1250000.0,9.0,1470.0,3.0,1.0
4174,"Marina Bay sea view, high floor, near Gurney, Georgetow, Pulau Tikus.",600000.0,46.0,1100.0,2.0,1.0
4175,HALAMAN KRISTAL 700sf JELUTONG ORIGINAL 1CARPARK SUNGAI PINANG,300000.0,22.0,700.0,2.0,1.0
4176,"Sri York duplex , renovated 1510sf, 2 car park scotland georgetown",815000.0,20.0,1509.0,2.0,1.0
4177,TAMAN LIPSIN BLOCK 1 GELUGOR 700sf RENOVATED PEKAKA SUNGAI DUA 1CP,350000.0,11.0,700.0,2.0,1.0
4178,Sinar Bukit Dumbar (BLOCK 98) Nr Tesco E-gate 3-Rooms Partly Furnished,380000.0,22.0,800.0,2.0,1.0
4179,[[Renovated]Butterworth Raja Uda Pangsapuri Seri Melur For Sale,430000.0,18.0,1060.0,2.0,1.0
4180,Pangsapuri Seri Melur Apartment Bagan Jermal Butterworth Freehold,360000.0,18.0,1070.0,2.0,1.0
4181,Royale Infinity 1140sqft 2 car parks Tambun near bloom Simpang Ampat,365000.0,39.0,1140.0,2.0,1.0
4182,Tropicana Bay Residence 1020sf 3-bedrooms KEY WITH ME bayan lepas,653000.0,11.0,1020.0,2.0,1.0
4183,Setia Triangle 1295sqft WORTH BUY LAST UNIT near tree sparina solaria,525000.0,11.0,1300.0,2.0,1.0
4184,LEVEL 1 : Taman Kumbar permai,369000.0,50.0,1080.0,2.0,1.0
4185,Sri Saujana 680sqft Block C 5条路 Georgetown Geran OBtained 1 fix CP,265000.0,20.0,650.0,2.0,1.0
4186,butterworth telok air tawar quayside condo for sales 1328sqft,430000.0,18.0,1328.0,2.0,1.0
4187,Seaview Condo opposite Starbucks Batu Ferringhi,365000.0,6.0,883.0,2.0,1.0
4188,4 Car Park Orchard Ville 1244sf Corner Seaview,630000.0,11.0,1244.0,2.0,1.0
4189,Taman Evergreen 750sqft Mid Floor Reno 1 Carpark at Tanjung Tokong,390000.0,46.0,750.0,2.0,1.0
4190,"Farlim Sri Ivory Apartment, Middle Floor, Newly Reno(Direct Owner)",250000.0,2.0,700.0,2.0,1.0
4191,Mutiara Place Puncak Mutiara Greenlane,580000.0,19.0,1050.0,2.0,1.0
4192,28 Logan Georgetown Low density Logan Road,1000000.0,20.0,1600.0,2.0,2.0
4193,The Tamarind Condominium Tanjong Tokong 1372sf Original Unit,1020000.0,46.0,1372.0,2.0,1.0
4194,Marinox Sky Villas Condominium Tanjong Tokong 1450sf 4 bedroom,950005.0,46.0,1450.0,3.0,2.0
4195,The Waterfront Condominium Tanjung Bungah 1475sf 4 Bedroom 2 Car Park,888000.0,47.0,1475.0,3.0,2.0
4196,Meritus Residensi with Furnished @ Perai for Sale,530000.0,33.0,1023.0,2.0,1.0
4197,The Latitude Condominium Tanjong Tokong Move In Condition High Floor,850000.0,46.0,1500.0,2.0,2.0
4198,The Light Collection 1 Condominium Gelugor 1528sf,1250000.0,19.0,1528.0,2.0,2.0
4199,Orchard ville for sales fully reno and furnish,570000.0,11.0,1116.0,2.0,1.0
4200,RARE IN MARKET- Tropicana Bay Residence NB Queensbay/FTZ/Penang Bridge,500000.0,11.0,615.0,1.0,0.0
4201,Summer Place [ CHEAPEST ] Furnish n Renovated SEA VIEW Karpal Singh,600000.0,20.0,1012.0,2.0,1.0
4202,The Address Sea & Town View 1431sf Bukit Jambul High Floor,835000.0,14.0,1431.0,3.0,2.0
4203,Gurney Drive Setia V Residence 4118sf With Private Life Low Density,4200000.0,20.0,4118.0,4.0,5.0
4204,DAHLIA PARK CONDO Butterworth For SALE,399000.0,18.0,1395.0,3.0,1.0
4205,"Fully Renovated Platino Condominium At Jelutong, Penang For Sale",1600000.0,19.0,2400.0,3.0,4.0
4206,Marinox Sky Villas Condominium Penang For Sale,1400000.0,46.0,1680.0,3.0,3.0
4207,High Floor Tri Pinnacle CORNER Exclusive Deal Partial Renovated,485000.0,46.0,850.0,2.0,1.0
4208,Worth Buy unit Apartment near Raja Uda,295000.0,18.0,820.0,2.0,1.0
4209,Pangsapuri Tanjung Tokong ( High Demand ),215000.0,46.0,650.0,2.0,1.0
4210,[NICE UNIT] Tropicana Bay Residence NB Queensbay/Penang Bridge/FTZ,590000.0,11.0,872.0,2.0,1.0
4211,[VALUE BUY] Tropicana Bay Residence Penang Bridge View NB Queensbay,650000.0,11.0,1020.0,2.0,1.0
4212,[Open Studio] Tropicana Bay Residence NB Queensbay/Penang Bridge/FTZ,410000.0,11.0,455.0,0.0,0.0
4213,BEST DEAL Fiera Vista FULL RENO & Furnished in Sungai Ara Bayan Lepas,720000.0,11.0,1400.0,3.0,2.0
4214,"[624sft, 3bedrooms] Lrg Impian Murni 6, Tmn Impian Murni, Alma, BM",75000.0,1.0,624.0,2.0,1.0
4215,The light collection 2 studio 2 car park,690000.0,19.0,517.0,0.0,0.0
4216,Nice View Tri Pinnacle 3 Car Parks Full Reno&Furnished Tanjung Tokong,540000.0,46.0,800.0,2.0,1.0
4217,Best Unit Deal Leader Garden 1200sqft Full Furnished Tanjung Bungah,500000.0,47.0,1200.0,3.0,2.0
4218,Tmn Seri Setia Flat near TARU / Tenby international School,238000.0,47.0,678.0,2.0,1.0
4219,Taman lip sin at lip sin sungai duo,345000.0,11.0,700.0,2.0,1.0
4220,TAMAN SERI DAMAI 800sf Fully Furnished BATU LANCHANG Near Jelutong,350000.0,22.0,800.0,2.0,1.0
4221,Majestic Heights(Paya Terubong),88200.0,2.0,700.0,2.0,1.0
4222,Marina Tower (Ratu Mutiara Condo) 1300sq ft FULLY RENOVATED SEAVIEW,728000.0,47.0,1300.0,2.0,1.0
4223,Reflections Condominium Unfurnished At Bayan Lepas For SALE,540000.0,11.0,1260.0,2.0,1.0
4224,"[603sft, 3bedrooms] Lrg Bakap Indah 8, Taman Bakap Indah, Sungai Jawi",52000.0,43.0,603.0,2.0,1.0
4225,"NO AGENT FEE! Lucerne Residence, 3 Room, 2 Parking, Tip Top Facilities",663000.0,11.0,1100.0,2.0,1.0
4226,Your Dream Home ,335000.0,22.0,800.0,2.0,1.0
4227,Artis 3 Worthbuy 1175sqft 2 Car Park High Floor Reno,780000.0,22.0,1175.0,2.0,1.0
4228,"Mutiara Idaman 2,Jelutong,Penang.",295000.0,22.0,680.0,2.0,0.0
4229,"Garden's Ville - Garden unit- Sungai Ara, Relau",660000.0,40.0,1286.0,2.0,1.0
4230,SKYCUBE RESIDENCE [1970sf GARDEN UNIT] Unfurnished Condition 2Cpark,750000.0,40.0,1970.0,2.0,1.0
4231,The Light Collection 1 1582sf 3Carpark Fully Furnish & Reno at Gelugor,1250000.0,19.0,1582.0,2.0,1.0
4232,Halaman kenanga at sungai duo good deal few unit,268000.0,19.0,700.0,2.0,1.0
4233,Imperial Residence 1200sft Renovated Furnish Cheapest In Market Sg Ara,600000.0,40.0,1200.0,2.0,1.0
4234,Best​ Worth buy FREEHOLD Taman Padang tembak 700sf 3bedroom Ayer Itam,277000.0,2.0,700.0,2.0,0.0
4235,Maritime Duplex Suite (worthbuy) 1200sqft Renovated Furnish Corner,950000.0,20.0,1200.0,2.0,1.0
4236,Sinar Bukit Dumbar - 700sf - Furnished & Renovated - Freehold Jelutong,330000.0,22.0,700.0,2.0,1.0
4237,One Imperial Renovated 2 Car Park Well Maintain,545000.0,40.0,1050.0,2.0,1.0
4238,Skyview Residence Worthbuy 2 Car Park High Floor,750000.0,22.0,1250.0,2.0,1.0
4239,The Latitude Condo Worthbuy Seaview Cheapest In Market,700000.0,46.0,1500.0,2.0,1.0
4240,Tree Sparina 2 Car Park Reno Furnish 1130Sqft Well Maintain,630000.0,11.0,1130.0,2.0,1.0
4241,BEST BUY!! The Brezza Tg Tokong Nr Straits Quay Renovated & Furnished,618000.0,46.0,1250.0,2.0,1.0
4242,Summerskye Residence High Floor Pool View Cheapest In Market,630000.0,11.0,1100.0,2.0,1.0
4243,SENZVILLE RESIDENCE [1080sf] Original Condition 2Cpark [CHEAPEST],540000.0,40.0,1080.0,2.0,1.0
4244,Moulmein rise pulau tikus city seaview 2 carpark well renovated,2450000.0,34.0,1851.0,2.0,3.0
4245,SENZVILLE RESIDENCE [1080sf] Original Condition Low Floor [3 CARPARK],570000.0,40.0,1080.0,2.0,1.0
4246,SENZVILLE RESIDENCE [1180sf] Brand New Condition 3Cpark [MID FLOOR],598000.0,40.0,1180.0,2.0,1.0
4247,Mira Residence 2CP! BEAUTIFULLY RENO & FURNISHED 1352sf Tanjung Bungah,1000000.0,47.0,1300.0,2.0,1.0
4248,Central Park Condo I Unit 1 I Renovated I Jelutong,1450000.0,21.0,2600.0,3.0,4.0
4249,[Hot Cake] Sandiland Sandilands 1338sf Key On Hand Georgetown Call Me,735000.0,22.0,1338.0,2.0,2.0
4250,Imperial Grande Cheapest In Market 2 Car Park High Floor,500000.0,11.0,1000.0,2.0,1.0
4251,Skycube Residence With Balcony Renovated Pool View Well Maintain,628000.0,40.0,1200.0,2.0,1.0
4252,Untuk Dijual Apartment Halaman Damai Jelutong Penang,250000.0,22.0,501.0,1.0,0.0
4253,"[TIP TOP] The Oasis, 3 Room, Fully renovated, Perfect City View, BEST",520000.0,19.0,1112.0,2.0,1.0
4254,"[CHEAPEST] Permai Jaya (H Block), 3 Room, Well Maintain, near Tarc",288000.0,47.0,685.0,2.0,1.0
4255,"FANSTASTIC! Eco Bloom, 3 Room, Tastefully Design, 2 Parking, City View",550000.0,39.0,900.0,2.0,1.0
4256,Sri Aman Renovated with Fix Cover Carpark ,310000.0,36.0,700.0,2.0,0.0
4257,For sell duplex unit full renovation woodsbury suite,550000.0,18.0,850.0,0.0,0.0
4258,THE PROMENADE | 847 Sft | BELOW MARKET PRICE | 1 CP |100% FULL LOAN,430000.0,10.0,847.0,1.0,1.0
4259,Birch Regency Times Square Georgetown 3-Rooms F/Renovated F/Furnished,590000.0,20.0,1050.0,2.0,1.0
4260,Vertu Resort Condominum 1030sf 2cp Cheapest in Ikea Batu Kawan,530000.0,7.0,1030.0,2.0,1.0
4261,[ BEST BUY ] Taman Terubong Jaya | WORTH | Block 11A | Paya Terubong,250000.0,28.0,850.0,2.0,1.0
4262,Untuk DIjual Apartment Desa Indah Blok 33,230000.0,14.0,650.0,2.0,0.0
4263,[ WORTH ] Gold Coast Resort | Low Floor | 1184 sqft | Near Queensbay,560000.0,11.0,1184.0,2.0,1.0
4264,[ BEST BUY ] Gold Coast Resort | RENO | near Queensbay Bayan Lepas,570000.0,11.0,1050.0,2.0,1.0
4265,The Amarene Unfurnished Middle Floor At Bayan Lepas For SALE,660000.0,11.0,1200.0,1.0,2.0
4266,"Valuable Unit for sale @ Apartment Desa Sri Jaya , Seberang Jaya",295000.0,30.0,936.0,2.0,1.0
4267,Imperial Grande | Low Floor | Partial Reno | Bungalow Unit Corner |2Cp,580000.0,11.0,1000.0,2.0,1.0
4268,Imperial Grande | Corner | Facing Hill View | 2 Cp,520000.0,11.0,1000.0,2.0,1.0
4269,Untuk Dijual Prominence Condo Bukit Mertajam Penang,495000.0,15.0,1508.0,2.0,1.0
4270,Untuk Dijual Apartment Kumbar Perasi teluk Kumbar Pulau Pinang,375000.0,50.0,1080.0,2.0,1.0
4271,NPARK CONDO Seaview,308000.0,19.0,750.0,2.0,1.0
4272,Q2 | Queens Residences |1000 sft | Direct Seaview | Corner | 2 Cp,1120000.0,11.0,1000.0,1.0,1.0
4273,Tanjung Permai De Centro | 1375 Sf | Full Reno & Furnished | 2 CP,495000.0,18.0,1375.0,3.0,1.0
4274,Desa Bayan Apartment 18th Floor For Sale,270000.0,40.0,710.0,2.0,1.0
4275,THE UBAN RESIDENCE_RENOVATED & FURNISHED_MOVE IN CONDITION_2000 Sf,1120000.0,9.0,2000.0,3.0,2.0
4276,Grace Residence 1646sf Town View Original Unit At Jelutong 2CP 3+1Room,830000.0,22.0,1646.0,3.0,2.0
4277,Halaman Kristal 700 sf Extened Master room Jalan free School,299990.0,22.0,700.0,2.0,1.0
4278,"Seunit Flat Low Cost di Halaman Kristal, George Town, Pulau Pinang",235000.0,22.0,700.0,2.0,0.0
4279,Fully reno | Taman Pekaka | Block 33,350000.0,19.0,700.0,2.0,1.0
4280,[CHEAPEST IN MARKET ] Taman Pelangi Indah Original MUST VIEW,330000.0,22.0,700.0,2.0,1.0
4281,Indah Kota Apartment Air Itam Fully Renovated Furnished 2 Car Parks,535000.0,2.0,1000.0,2.0,1.0
4282,Skycube Residence Indoor Garden 3CP Renovated Sungai Ara,800000.0,40.0,1900.0,2.0,1.0
4283,BAY RESIDENCE_GARDEN UNIT_FULLY RENOVATED_1750 Sf _ 2 CAR PARK,1350000.0,11.0,1750.0,2.0,1.0
4284,Desa Bistari apartment condo Reno full loan at pantai jerjak,295000.0,19.0,750.0,2.0,1.0
4285,Mutiara Vista | Jelutong | Below Bank Value,268000.0,22.0,650.0,2.0,1.0
4286,[BEST BUY] Eco World Terrace 1095sf | 2 car parks |Pine Itam Terubong,600000.0,2.0,1095.0,2.0,1.0
4287,[BEST BUY] Eco World Terrace 1095sf | 2 car parks |Pine Itam Terubong,600000.0,28.0,1095.0,2.0,1.0
4288,Relau Vista Apartment Desa Full reno Full loan value for money,355000.0,11.0,750.0,2.0,1.0
4289,Luxury Ferringhi Residence,998000.0,6.0,1750.0,3.0,3.0
4290,Triuni Residence Tower A 1900sf (Partially Furnished),1274000.0,9.0,1916.0,3.0,4.0
4291,City of Dream Penthouse 2315sf Fully Renovated with 4 car park,2980000.0,46.0,2315.0,3.0,2.0
4292,Berjaya Court Pulau Tikus Nr Adventist Hospital 3-Rooms Renovated 1-CP,718000.0,34.0,1050.0,2.0,1.0
4293,One Imperial - Relau,555000.0,40.0,1150.0,2.0,1.0
4294,"[FREE AIRCOND 4 BIJIK] Kondo Mutiara Perda, Bukit Mertajam [BERBALOI]",220000.0,15.0,700.0,2.0,1.0
4295,"Best Deal ! Goodfields Residences (1,399 sq feet)",399000.0,16.0,1399.0,2.0,1.0
4296,For Sale Duplex Penthouse Pangsapuri Sri Molek Teluk Air Tawar,420000.0,0.0,2568.0,4.0,3.0
4297,Taman Tun Sardon | Gelugor,100000.0,19.0,528.0,1.0,0.0
4298,Q2 Queens Waterfront Residence Near Queensbay Mall,860000.0,11.0,950.0,2.0,1.0
4299,Tri Pinnacle At Tanjung Tokong Renovated Furnished Freehold2 Car Park,475000.0,46.0,800.0,2.0,1.0
4300,"Elit Heights, Bayan City, Spice Arena",620000.0,11.0,1465.0,2.0,1.0
4301,Bayan Lepas Luxury Seaview Condo 2670sqft 4 Room,1200000.0,11.0,2670.0,3.0,4.0
4302,Greenlane_New Condo Project_2 Car Park,428000.0,21.0,850.0,2.0,1.0
4303,Apartment Murah Di Prai Penang,270000.0,30.0,932.0,2.0,1.0
4304,Taman Bukit Erskine near tri pinnacle - Direct owner,300000.0,46.0,654.0,2.0,1.0
4305,2 CARPARKS Gold Coast Nearby Queensbay Mall,565000.0,11.0,1042.0,2.0,1.0
